query,top_name,top_homba_id,score,methods,matched_alias,matched_query,modifier_terms,modifier_match_score,review_flag,rank2_name,rank2_score
Pontobulbar nucleus,pontobulbar nucleus,HOMBA:12614,1.0,bm25+exact+fuzzy,Pontobulbar nucleus,Pontobulbar nucleus,,1.0,high_confidence,"pontobulbar nucleus, inferior division",0.675947
Dorsal motor nucleus of vagus,dorsal motor nucleus of the vagus (vagal nerve nucleus),HOMBA:12550,1.0,bm25+fuzzy,dorsal motor nucleus of the vagus,Dorsal motor nucleus of vagus,dorsal,1.0,high_confidence,"dorsal motor nucleus of vagus, caudal division",0.990833
Nucleus ambiguus,ambiguus nucleus,HOMBA:12540,1.0,bm25+exact+fuzzy+hierarchy_parent,Nucleus ambiguus,Nucleus ambiguus,,1.0,high_confidence,"ambiguus nucleus, loose division",0.798611
Vagus (spinal accessory) neurons,spinal accessory nucleus,HOMBA:AA30587,0.729944,bm25+fuzzy,spinal accessory nucleus,Vagus (spinal accessory) neurons,spinal;accessory;spinal accessory,1.0,needs_review,roots of spinal accessory nerve,0.680624
Nucleus of the solitary tract,solitary nucleus,HOMBA:12557,1.0,bm25+exact+fuzzy+hierarchy_parent,Nucleus of the solitary tract,Nucleus of the solitary tract,,1.0,high_confidence,"solitary nucleus, gelatinous division",0.858333
Area postrema,area postrema,HOMBA:12807,1.0,bm25+exact+fuzzy,Area postrema,Area postrema,,1.0,high_confidence,,
Prepositus nucleus,prepositus hypoglossal nucleus,HOMBA:12615,1.0,bm25+exact+fuzzy,Prepositus nucleus,Prepositus nucleus,,1.0,high_confidence,other nuclei in dorsal medulla,0.97
Intermediate reticular zone,intermediate reticular nucleus,HOMBA:12620,1.0,bm25+exact+fuzzy,Intermediate reticular zone,Intermediate reticular zone,reticular,1.0,high_confidence,reticular nucleus of thalamus,0.349218
Lateral reticular nucleus (magnocellular),lateral reticular nucleus,HOMBA:12634,1.0,bm25+exact+fuzzy,Lateral reticular nucleus,Lateral reticular nucleus,magnocellular;lateral;reticular,0.666667,modifier_conflict,"lateral reticular nucleus, magnocellular division",1.0
Lateral reticular nucleus (parvicellular),lateral reticular nucleus,HOMBA:12634,1.0,bm25+exact+fuzzy,Lateral reticular nucleus,Lateral reticular nucleus,parvicellular;lateral;reticular,0.666667,modifier_conflict,"lateral reticular nucleus, parvicellular division",1.0
