lit_name,rank,bna_L3_code,bna_area_abbr,bna_area_name,bna_L2_abbr,bna_label_id_L,bna_label_id_R,n_papers,n_coords,p,p_raw,p_unobserved,k_total,n_support
occipital lobe,15,PCun_L(R)_4_3,dmPOS,dorsomedial parietooccipital sulcus(PEr),Pcun,151,152,1,1,0.0236,0.0208,0.00787,48,31
occipital lobe 18,1,LOcC_L(R)_4_4,iOccG,inferior occipital gyrus,LOcC,205,206,1,1,0.375,1.0,0.125,1,6
occipital lobe ba 18,1,MVOcC_L(R)_5_3,cCunG,caudal cuneus gyrus,MVOcC,193,194,1,1,0.3333,0.5,0.11111,2,5
occipital lobe ba 18,2,MVOcC_L(R)_5_4,rLinG,rostral lingual gyrus,MVOcC,195,196,1,1,0.3333,0.5,0.11111,2,5
occipital lobe cl,1,LOcC_L(R)_2_2,lsOccG,lateral superior occipital gyrus,LOcC,209,210,1,1,0.375,1.0,0.125,1,6
occipital lobe cuneus,1,MVOcC_L(R)_5_5,vmPOS,ventromedial parietooccipital sulcus,MVOcC,197,198,1,1,0.4286,1.0,0.14286,1,5
occipital lobe il,1,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),IPL,143,144,1,1,0.375,1.0,0.125,1,6
occipital lobe lingual gyrus,1,MVOcC_L(R)_5_1,cLinG,caudal lingual gyrus,MVOcC,189,190,1,1,0.4286,1.0,0.14286,1,5
occipital medial area,1,IPL_L(R)_6_1,A39c,caudal area 39(PGp),IPL,135,136,1,2,0.375,1.0,0.125,1,6
occipital mid,1,IPL_L(R)_6_1,A39c,caudal area 39(PGp),IPL,135,136,4,7,0.2143,0.2667,0.02381,15,12
occipital mid,2,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),IPL,143,144,4,4,0.2143,0.2667,0.02381,15,12
occipital mid,3,LOcC_L(R)_4_1,mOccG,middle occipital gyrus,LOcC,199,200,3,3,0.1667,0.2,0.02381,15,12
