lit_name,lit_hemisphere,k_papers,k_coords,p_coord_L,hemi_agreement
posterior parahippocampal gyrus 36,R,1,1,0.0,1.0
posterior parietal,U,1,1,1.0,
posterior parietal and,L,1,1,1.0,1.0
posterior parietal ba 40,R,1,1,0.0,1.0
posterior parietal cortex ba 7 40,L,1,1,1.0,1.0
posterior parietal cortex ba 7 40,R,1,1,0.0,1.0
posterior occipital,R,1,1,0.0,1.0
posterior occipital cortex,U,1,2,0.5,
posterior occipital lobe,U,1,1,1.0,
posterior ofc,L,1,1,1.0,1.0
posterior operculum,L,1,3,1.0,1.0
posterior operculum,R,1,2,0.0,1.0
posterior orbital gyrus,R,1,1,0.0,1.0
posterior parahippocampal gyrus,L,1,1,1.0,1.0
posterior mid temporal,R,1,1,0.0,1.0
posterior middle cingulate,U,1,1,1.0,
posterior middle cingulate cortex,U,1,2,1.0,
posterior middle temporal ba 39,U,1,1,0.0,
posterior middle temporal gyrus 21,L,1,1,1.0,1.0
posterior middle temporal gyrus ba 21 37,R,1,2,0.0,1.0
posterior mtg,R,1,1,0.0,1.0
posterior occipital,L,1,1,1.0,1.0
cingulate ba 32,R,1,1,0.0,1.0
cingulate cortex 32,U,1,2,1.0,
cingulate g,L,1,3,1.0,1.0
cingulate g,R,1,2,0.0,1.0
cingulate g ba 24,L,1,1,1.0,1.0
cingulate g ba 24,R,1,1,0.0,1.0
cingulate g ba 31,U,1,1,1.0,
cingulate grus,U,1,1,1.0,
cingular,U,1,1,0.0,
cingulate,B,1,3,1.0,
cingulate,R,1,1,0.0,1.0
cingulate 24,L,1,1,1.0,1.0
cingulate anterior dorsal,R,1,1,0.0,1.0
cingulate area,L,1,1,1.0,1.0
cingulate ba 23,L,1,1,1.0,1.0
cingulate ba 31,L,1,1,1.0,1.0
posterior superior parietal lobule,L,1,1,1.0,1.0
posterior superior tem poral cortex,U,1,1,1.0,
cerebral peduncle,L,1,1,1.0,1.0
cerebrum sub lobar,R,1,1,0.0,1.0
cg ba 24,R,1,1,0.0,1.0
cing gy,U,1,2,0.5,
cing gyi,U,1,1,1.0,
cing gyu,U,1,1,0.0,
posterior superior and middle frontal gyrus ba 8 9,L,1,2,1.0,1.0
posterior superior and middle temporal gyrus,L,1,1,1.0,1.0
posterior superior frontal gyrus,L,1,1,1.0,1.0
posterior superior frontal gyrus,U,1,2,0.5,
posterior superior frontal sulcus,B,1,1,1.0,
posterior superior frontal sulcus,L,1,1,1.0,1.0
posterior superior parietal,L,1,1,1.0,1.0
posterior superior parietal,R,1,1,0.0,1.0
posteror transverse collateral sulcus,U,1,1,1.0,
posteror ventral part of the cingulate gyrus,U,1,1,1.0,
postg,U,1,1,0.0,
postr parietal ctx,U,1,2,0.5,
postr parietal gyr,U,1,1,0.0,
ppc ba 5,U,1,1,0.0,
ppc ba 7,U,1,1,0.0,
ppc center,U,1,2,0.0,
posterior temporal lobe,U,1,1,0.0,
posterior thalamic nucleus,U,1,1,1.0,
posterior thalamus,L,1,1,1.0,1.0
posterior thalamus,R,1,1,0.0,1.0
posterior transverse collateral sulcus,U,1,1,1.0,
posterior vlpfc,R,1,1,0.0,1.0
posterior vot,L,1,1,1.0,1.0
posterolateral temporal lobe,L,1,1,1.0,1.0
posterior superior temporal sulcus and gyrus,U,1,1,0.0,
posterior superior temporal sulcus ba 21,U,1,1,1.0,
posterior temporal,L,1,1,1.0,1.0
posterior temporal cortex,L,1,1,1.0,1.0
posterior temporal cortex,R,1,1,0.0,1.0
posterior temporal cortex,U,1,2,0.5,
posterior temporal lobe,L,1,1,1.0,1.0
posterior temporal lobe,R,1,1,0.0,1.0
cingulate gyrus 1997,U,1,1,1.0,
cingulate gyrus 23,R,1,1,0.0,1.0
posterior superior temporal gyrus ba 22,U,1,1,0.0,
posterior superior temporal gyrus ba 41,U,1,1,0.0,
posterior superior temporal gyrusa,U,1,1,1.0,
posterior superior temporal sulcus,B,1,1,0.0,
posterior superior temporal sulcus,R,1,1,0.0,1.0
posterior superior temporal sulcus and angular gyrus,U,1,1,0.0,
pre cuneus,U,1,1,1.0,
pre motor,L,1,1,1.0,1.0
pre motor,U,1,2,0.5,
pre motor cortex,L,1,1,1.0,1.0
pre motor cortex,R,1,1,0.0,1.0
pre post central gyrus,L,1,1,1.0,1.0
pre postcentral,L,1,2,1.0,1.0
pre sma 6,L,1,1,1.0,1.0
pre central g,R,1,1,0.0,1.0
pre central gy,U,1,1,1.0,
pre central gyo,U,1,1,1.0,
pre central gyrus ba 4,U,1,1,1.0,
pre central gyrus ba 6,L,1,1,1.0,1.0
pre central gyrus ba 6,U,1,1,1.0,
pre central gyrus1,L,1,1,1.0,1.0
pre cun,U,1,3,1.0,
prcs,U,1,2,0.5,
pre,U,1,2,1.0,
pre and postcentral gyrus,B,1,1,1.0,
pre and postcentral gyrus,L,1,1,1.0,1.0
pre and postcentral gyrus,R,1,1,0.0,1.0
pre and postcentral gyrus,U,1,5,0.2,
pre and postcentral gyrus ba 3 4,U,1,1,1.0,
pre central,U,1,1,1.0,
ppc sphere,L,1,1,1.0,1.0
ppc sphere,R,1,1,0.0,1.0
ppcdamh,U,1,4,1.0,
ppcundamh,U,1,4,0.0,
ppl,U,1,4,0.5,
prcg d,U,1,1,1.0,
prcg v,U,1,1,1.0,
prcs,R,1,1,0.0,1.0
cerebellum declive,L,1,1,1.0,1.0
cerebellum declive,R,1,1,0.0,1.0
cerebellum declive,U,1,1,0.0,
cerebellum declive lobule vi,R,1,1,0.0,1.0
cerebellum inferior semi lunar,R,1,2,0.0,1.0
cerebellum ix,U,1,1,1.0,
cerebellum lobule v,U,1,1,0.0,
cerebellum lobule vi,L,1,1,1.0,1.0
precent,R,1,1,0.0,1.0
cerebellum crus ii,U,1,1,1.0,
cerebellum crus1,U,1,2,0.5,
cerebellum crus2,U,1,2,0.0,
cerebellum crust i,L,1,1,1.0,1.0
cerebellum culmen,R,1,2,0.0,1.0
cerebellum culmen,U,1,1,0.0,
cerebellum culmen lobule vi,L,1,1,1.0,1.0
prea,L,1,1,1.0,1.0
prea,R,1,1,0.0,1.0
prec,L,1,1,1.0,1.0
prec,U,1,2,0.5,
prec gyr,U,1,1,1.0,
prec gyrus,U,1,1,0.0,
precenrtal g,R,1,1,0.0,1.0
precent,L,1,1,1.0,1.0
pre sma 6,R,1,1,0.0,1.0
pre sma 6,U,1,2,1.0,
pre sma ba 6,L,1,1,1.0,1.0
pre sma ba 6,U,1,1,1.0,
pre sma sphere,U,1,1,1.0,
pre supplementary motor area ba 6,U,1,2,1.0,
pre supplementary motor area ba 6 8,U,1,1,0.0,
pre supplementary motor cortex,U,1,1,0.0,
precentral g ba 6,U,1,2,1.0,
precentral g ba 9,U,1,1,0.0,
precentral gyrus 3,L,1,1,0.0,0.0
cerebellar crus ii,L,1,1,1.0,1.0
cerebellar culmen,L,1,1,1.0,1.0
cerebellar declive,L,1,1,1.0,1.0
cerebellar declive,R,1,1,0.0,1.0
cerebellar hemisphere,U,1,2,1.0,
precentral and middle frontal gyrus,U,1,1,1.0,
precentral and postcentral gyrus,L,1,1,1.0,1.0
precentral and postcentral gyrus,R,1,1,0.0,1.0
precentral and postcentral gyrus 4 1 2 3,L,1,1,1.0,1.0
precentral ba 44,L,1,1,1.0,1.0
precentral ba 6,R,1,1,0.0,1.0
precentral frontal gyrus,R,1,1,0.0,1.0
precentral g ba 6,R,1,1,0.0,1.0
cerebellum viiia,U,1,1,0.0,
cerebellum viiib,U,1,1,0.0,
cerebelum,L,1,1,1.0,1.0
cerebelum 4 5,L,1,1,1.0,1.0
cerebelum 4 5,R,1,1,0.0,1.0
cerebelum superior,R,1,2,0.0,1.0
precentr gy,U,1,2,0.0,
precentral and inferior frontal gyrus,U,1,2,0.0,
cerebellum lobule viia,L,1,1,1.0,1.0
cerebellum lobule viibs,U,1,1,0.0,
cerebellum posterior lobe,L,1,1,1.0,1.0
cerebellum posterior lobe,U,1,1,1.0,
cerebellum pyramis,L,1,2,1.0,1.0
cerebellum pyramis,R,1,3,0.0,1.0
cerebellum vi,R,1,1,0.0,1.0
cerebellum viib,R,1,1,0.0,1.0
precentral gyrus ba 9,L,1,1,1.0,1.0
precentral gyrus medial segment,U,1,1,0.0,
precentral gyrus rb,U,1,1,0.0,
precentral gyrusa,U,1,1,0.0,
precentral gyrusc,L,1,1,1.0,1.0
precentral gyruse,U,1,1,1.0,
precentral gyurs,U,1,1,0.0,
precentral li,U,1,1,1.0,
precentral gyrus 9,L,1,1,1.0,1.0
precentral gyrus 9,U,1,1,1.0,
precentral gyrus ba 13,U,1,1,0.0,
precentral gyrus ba 4 include middle frontal gyrus ba 6,R,1,1,0.0,1.0
precentral gyrus ba 43,U,1,1,1.0,
precentral gyrus ba 44,L,1,2,1.0,1.0
precentral gyrus ba 5,R,1,1,0.0,1.0
precentral gyrus ba 6 2,U,1,1,0.0,
cerebellum 7b,U,1,1,1.0,
cerebellum 9,U,1,2,1.0,
cerebellum anterior lobe,U,1,1,1.0,
cerebellum crus,L,1,1,0.0,0.0
cerebellum crus i,R,1,1,0.0,1.0
precentral gyrus 4 6,L,1,1,1.0,1.0
precentral gyrus 44,L,1,1,1.0,1.0
precentral gyrus 44,R,1,1,0.0,1.0
cerebellar lobule,U,1,2,0.5,
cerebellar lobule viii,L,1,1,1.0,1.0
cerebellar tonsil,L,1,1,0.0,0.0
cerebellar tonsil,R,1,1,0.0,1.0
cerebellar vermis,R,1,1,0.0,1.0
cerebellar vermis,U,1,2,0.5,
cerebellum,B,1,2,0.0,
cerebellum 10,U,1,2,1.0,
caudateh,U,1,1,0.0,
caudatel,U,1,1,0.0,
caudaten,U,1,1,0.0,
caudater,R,1,2,0.0,1.0
cbl,L,1,1,1.0,1.0
ccma,L,1,1,1.0,1.0
ceneus,L,1,1,1.0,1.0
ceneus,R,1,1,0.0,1.0
precun,U,1,3,0.3333,
precuneal cortex,U,1,1,1.0,
precuneas,U,1,1,0.0,
precuneous,R,1,1,0.0,1.0
precuneous c,U,1,1,0.0,
precuneous cortex,B,1,1,1.0,
caudate2,U,1,1,1.0,
caudateb,L,1,1,1.0,1.0
precentral white matter,L,1,1,1.0,1.0
precentralgyrus,R,1,2,0.0,1.0
precentralgyrus 6,U,1,1,0.0,
precg,L,1,1,1.0,1.0
precg 4,U,1,1,1.0,
precg 43,U,1,1,0.0,
precg 6,U,1,2,0.5,
precs,U,1,1,0.0,
precentral lobe ba 4,U,1,1,0.0,
precentral region,U,1,1,1.0,
precentral sulcus,L,1,1,1.0,1.0
precentral sulcus,R,1,1,0.0,1.0
precentral sulcus and middle frontal gyrus,U,1,1,1.0,
precentral sulcus ba 4 6,B,1,1,1.0,
precentral sulcus ba 4 6,R,1,1,0.0,1.0
precentral sulcus ba 6,R,1,1,0.0,1.0
precuneus cortex,L,1,2,1.0,1.0
precuneusa,B,1,1,0.0,
precuneusa,R,1,1,0.0,1.0
precuneusb,R,1,1,0.0,1.0
precuneuso,U,1,1,0.0,
precunneus,R,1,1,0.0,1.0
prefontal cortex,U,1,1,0.0,
prefrontal,R,1,6,0.0,1.0
precuneus 19,U,1,1,1.0,
precuneus 28,U,1,1,0.0,
precuneus 31,L,1,1,1.0,1.0
precuneus 31,R,1,1,0.0,1.0
precuneus 7 19,R,1,1,0.0,1.0
precuneus and cingulate gyrus 7 31,R,1,1,0.0,1.0
precuneus ba 19,R,1,1,0.0,1.0
precuneus ba 5,L,1,1,1.0,1.0
central opercularcortex,U,1,1,0.0,
central sulcus,R,1,1,0.0,1.0
centrolateral prefrontal cortex,U,1,1,0.0,
centromedial amygdala,R,1,1,0.0,1.0
cer,R,1,1,0.0,1.0
cerbellum,L,1,1,1.0,1.0
cereb,L,1,4,1.0,1.0
precunes ba 7,L,1,1,0.0,0.0
central cortex,U,1,1,1.0,
central gyrus,L,1,2,1.0,1.0
central gyrus,R,1,1,0.0,1.0
central insula,U,1,1,0.0,
central occipital gyrus,U,1,1,1.0,
central oper cortex,U,1,1,0.0,
central opercular cortex,L,1,1,1.0,1.0
central opercular cortex,U,1,1,1.0,
caudal fusiform gyrus and inferior occipital sulcus,U,1,1,0.0,
caudal intraparietal sulcus,L,1,1,1.0,1.0
caudal itg,L,1,4,1.0,1.0
caudal itg,R,1,4,0.0,1.0
caudal premotor area,U,1,1,1.0,
caudal supplementary motor area,U,1,1,1.0,
caudate head,B,1,1,1.0,
caudate nucleus,B,1,1,0.0,
premotor area 1997,U,1,1,1.0,
calcarine sulcus and lingual gyrus,U,1,1,1.0,
calcarinea,R,1,1,0.0,1.0
callosal body,U,1,1,1.0,
canterior cingulate,U,1,1,0.0,
caudal acc,U,1,1,1.0,
caudal cuneus and calcarine sulcus,U,1,1,1.0,
caudal dlpfc,R,1,1,0.0,1.0
prefrontal subgyral area,R,1,1,0.0,1.0
preg,U,1,1,1.0,
pregenual anterior cingulate cortex,U,1,3,0.0,
pregenual anterior cingulate cortex 24,L,1,1,1.0,1.0
pregenual anterior cingulate cortex 24 and rostral prefrontal cortex 10,L,1,1,1.0,1.0
pregenual anterior cingulate cortex ba 24,U,1,4,1.0,
pregenual cing,U,1,1,1.0,
premotor,L,1,2,1.0,1.0
prefrontal,U,1,1,1.0,
prefrontal area,U,1,5,0.4,
prefrontal corrtex ba 10,L,1,1,1.0,1.0
prefrontal cortex ba 10,R,1,1,0.0,1.0
prefrontal cortex ba 9 10,L,1,1,1.0,1.0
prefrontal dorsolateral cortex,U,1,1,1.0,
prefrontal gyrus,B,1,1,1.0,
prefrontal lobe,U,1,1,0.0,
calcar,R,1,1,0.0,1.0
calcarine 18,L,1,1,1.0,1.0
calcarine 3,R,1,1,0.0,1.0
calcarine ba 17,L,1,2,1.0,1.0
calcarine ba 17,R,1,1,0.0,1.0
calcarine ba 17,U,1,1,1.0,
calcarine cortex ba 17,L,1,1,1.0,1.0
calcarine cortex ba 19,L,1,1,1.0,1.0
primary motor area ba 6,U,1,1,0.0,
primary motor cortex leg area,U,1,2,1.0,
primary olfactory area,U,1,1,0.0,
primary sensorimotor cortex,L,1,1,1.0,1.0
primary somato sensory cortex,U,1,2,0.5,
primary somatosensory area,U,1,2,0.5,
primary visual,U,1,1,1.0,
primary visual region,U,1,1,0.0,
prestriate,U,1,5,0.6,
prestriate cortex,R,1,1,0.0,1.0
prg,L,1,4,1.0,1.0
prg,R,1,1,0.0,1.0
primary and secondary somatosensory area,U,1,3,1.0,
primary and secondary visual cortex,U,1,1,0.0,
primary motor,L,1,1,1.0,1.0
primary motor,U,1,5,0.4,
caudate nucleus head,R,1,3,0.0,1.0
caudate tail,R,1,1,0.0,1.0
premotor c,L,1,1,1.0,1.0
premotor cortex ba 6,L,1,1,1.0,1.0
premotor cortex ba 6,U,1,1,1.0,
premotor cortex bi,U,1,1,1.0,
premotor cortical area,L,1,1,1.0,1.0
presef,L,1,1,1.0,1.0
put,U,1,1,0.0,
put amen,U,1,1,0.0,
put ant,U,1,1,1.0,
put anterior,R,1,1,0.0,1.0
put post,U,1,2,1.0,
putamam,U,1,1,1.0,
putamen nucleus,L,1,1,1.0,1.0
putamen1,L,1,1,1.0,1.0
ptpj,U,1,1,1.0,
ptr,L,1,2,1.0,1.0
ptr,R,1,2,0.0,1.0
ptr,U,1,11,1.0,
ptr ba 45,U,1,1,1.0,
ptri,U,1,2,1.0,
pulv,U,1,1,0.0,
put,L,1,1,1.0,1.0
psfg,U,1,1,0.0,
pspl,R,1,1,0.0,1.0
pstcg,U,1,2,0.0,
pstg,R,1,1,0.0,1.0
pstg 22,U,1,4,0.25,
pstg 41,U,1,2,0.5,
pstg 42,U,1,1,1.0,
pt 42,U,1,1,0.0,
calcarine fissure andsurrounding cortex,L,1,1,1.0,1.0
calcarine fissure andsurrounding cortex,R,1,1,0.0,1.0
calcarine g,L,1,1,1.0,1.0
calcarine g,U,1,1,0.0,
calcarine gyrus ba 19,L,1,1,1.0,1.0
calcarine region,L,1,1,1.0,1.0
prmfc,U,1,2,0.0,
procuneous cortex,U,1,1,0.0,
retrosplenial cortex,L,1,1,1.0,1.0
retrosplenial cortex ba 31,L,1,2,1.0,1.0
retrosplenium,U,1,4,0.75,
reward,U,1,1,1.0,
rfef,U,1,1,0.0,
rffa,U,1,2,0.0,
rifg,U,1,3,0.0,
rifg ba 45 47,U,1,1,0.0,
rectus gyrus,L,1,1,1.0,1.0
restrosplenial cortex,U,1,2,0.5,
retrospenial cortex,U,1,1,1.0,
retrospinal cortex,U,1,1,0.0,
retrosplenial,R,1,1,0.0,1.0
retrosplenial and lingual gyrus,R,1,1,0.0,1.0
retrosplenial cingulate cortex,R,1,1,0.0,1.0
retrosplenial cortex,B,1,1,1.0,
rag,U,1,1,0.0,
ralpfc,U,1,1,0.0,
ramy,U,1,1,0.0,
rcn,U,1,1,0.0,
rcs,U,1,1,0.0,
rcz,U,1,1,1.0,
rectal gyrus ba 11,R,1,1,0.0,1.0
rectus and,B,1,2,0.5,
putamen1,R,1,1,0.0,1.0
putamena,U,1,1,0.0,
putamendamh,U,1,1,1.0,
putamenh,U,1,2,0.5,
putamenm,U,1,1,0.0,
putamenn,U,1,1,0.0,
putamenundamh,U,1,1,0.0,
racc,L,1,1,1.0,1.0
brodmann area 6,U,1,2,0.5,
brodmann area 8,R,1,1,0.0,1.0
brodmann area 9,R,1,1,0.0,1.0
brodmann area 9,U,1,1,0.0,
c hippocampus,R,1,1,0.0,1.0
c inferior parietal lobule,U,1,2,1.0,
c precentral gyrus,U,1,1,1.0,
c superior parietal lobule,U,1,1,1.0,
brodmann area 35 medial aspect of the inferior temporal lobe perirhinal cortex of the parahippocampus,U,1,1,1.0,
brodmann area 37,L,1,1,1.0,1.0
brodmann area 39,L,1,1,1.0,1.0
brodmann area 39,R,1,2,0.0,1.0
brodmann area 43 distal tip of postcentral gyrus,R,1,1,0.0,1.0
brodmann area 44,U,1,2,1.0,
brodmann area 6,L,1,1,1.0,1.0
brodmann area 6,R,1,1,0.0,1.0
brainstem,R,1,2,0.0,1.0
broca s area,U,1,1,1.0,
brocas area,U,1,1,1.0,
brocas area ba 44,U,1,1,1.0,
brodmann area 13,R,1,1,0.0,1.0
brodmann area 19,R,1,1,0.0,1.0
brodmann area 30,R,1,1,0.0,1.0
brodmann area 32,L,1,1,1.0,1.0
rifga,U,1,1,0.0,
rightleft,U,1,1,0.0,
rightpostcentral gyrus 1,U,1,1,0.0,
rightpostcentral gyrus 2,U,1,1,0.0,
rihgt inferior parietal lobule,U,1,2,0.0,
ring anterior insula,U,1,1,0.0,
rips,U,1,1,0.0,
brainstem,L,1,1,1.0,1.0
rostral anterior cingulate,R,1,1,0.0,1.0
rostral anterior cingulate,U,1,2,1.0,
rostral anterior cingulate ba 32,U,1,2,0.5,
rostral anterior cingulate cortex,B,1,1,0.0,
rostral anterior cingulate cortex,L,1,1,1.0,1.0
rostral anterior cingulate gyrus,R,1,1,0.0,1.0
rostral anterior insula,U,1,1,0.0,
rostral caudate,U,1,1,1.0,
rolandic opercolum,U,1,1,1.0,
rolandic opercular gyrus,U,1,1,1.0,
rolandic operculum ba 44,R,1,1,0.0,1.0
rolandic operculum ba 6,U,1,1,1.0,
rolandic operculum op3,U,1,1,0.0,
rolandic operculum op4,U,1,1,0.0,
rostral acc,L,1,1,0.0,0.0
rostral acc,R,1,1,0.0,1.0
rmpfc,U,1,1,0.0,
rofc,U,1,1,0.0,
roi 1,U,1,2,0.5,
roi 2,U,1,2,0.5,
rol operc,R,1,1,0.0,1.0
rolandic oper,L,1,1,1.0,1.0
rolandic oper 44,U,1,1,1.0,
rolandic oper 7,U,1,2,1.0,
c supra marginal gyrus,U,1,1,1.0,
cacc,U,1,1,0.0,
cal,L,1,1,1.0,1.0
cal,R,1,1,0.0,1.0
cal,U,1,2,0.5,
rlpfc,L,1,2,1.0,1.0
rlpfc,U,1,1,1.0,
rmc,U,1,1,1.0,
rpfc,U,1,1,0.0,
rpips,U,1,1,0.0,
rpmtg,U,1,1,0.0,
rppc,U,1,1,0.0,
rsc,L,1,1,1.0,1.0
rsc,R,1,1,0.0,1.0
rsfg,U,1,1,0.0,
rsloc,U,1,1,0.0,
rostrolateral frontal cortex,U,1,1,0.0,
rostrolateral pfc,U,1,3,0.3333,
rostrolateral prefrontal cortex,U,1,2,0.5,
rostromedial frontal lobe,L,1,1,1.0,1.0
rostromedial pfc,U,1,1,1.0,
rparahippocampal gyrus,U,1,1,0.0,
rpcg,U,1,1,0.0,
rpcn,U,1,1,0.0,
rostral portion of the postcentral gyrus,U,1,12,0.5,
rostral prefrontal cortex 10,L,1,2,1.0,1.0
rostral prefrontal cortex 10,R,1,1,0.0,1.0
rostral prefrontal cortex 10,U,1,1,1.0,
rostral premotor area,U,1,1,0.0,
rostral stg,L,1,1,1.0,1.0
rostral stg,R,1,1,0.0,1.0
rostral superior parietal gyrus,R,1,2,0.0,1.0
rostral cingulate zone,U,1,1,0.0,
rostral dorsolateral pfc,U,1,1,0.0,
rostral medial frontal,B,1,2,1.0,
rostral medial frontal,L,1,5,1.0,1.0
rostral medial frontal g,U,1,4,0.5,
rostral medial pfc ba 10,U,1,1,0.0,
rostral medial prefrontal cortex ba 10,U,1,1,0.0,
rostral middle frontal gyrus,U,1,2,0.0,
ba 9 middle frontal gyrus,R,1,1,0.0,1.0
bank of superior temporal sulcus,U,1,1,1.0,
banks of the superior temporal sulcus,U,1,1,1.0,
basal nucleus of meynert,U,1,1,1.0,
basal temporopolar cortex,U,1,1,1.0,
base of inferior frontal gyrus,R,1,1,0.0,1.0
bcg,U,1,1,0.0,
beta 1 extracted from the pcc,U,1,1,0.0,
s1 1 2 3,U,1,2,1.0,
ba 7,R,1,1,0.0,1.0
ba 7 precuneus,R,1,1,0.0,1.0
ba 8,R,1,1,0.0,1.0
ba 9,L,1,1,0.0,0.0
ba 9 46,U,1,1,0.0,
ba 9 medial prefrontal cortex,U,1,1,1.0,
ba 9 middle frontal gyrus,L,1,2,1.0,1.0
rv3b,U,1,1,0.0,
rv4 vp,U,1,1,0.0,
rv5,U,1,2,0.0,
rvcs,U,1,1,0.0,
rvfc,U,1,1,0.0,
rvstr,U,1,2,0.0,
s i,U,1,1,0.0,
s ii,U,1,2,0.0,
rsmg,U,1,1,0.0,
rstg and insula,U,1,1,0.0,
rsts,U,1,1,0.0,
rtemp,U,1,1,0.0,
rtha,U,1,1,0.0,
rtpj 40,U,1,1,0.0,
rv1 v2,U,1,1,0.0,
rv3a,U,1,1,0.0,
sensorimotor,R,1,1,0.0,1.0
sensorimotor,U,1,1,0.0,
sensorimotor area,R,1,2,0.0,1.0
sensorimotor cortex,R,1,2,0.0,1.0
sensorimotor network,U,1,1,0.0,
sensorimotor region,U,1,1,1.0,
sensory,U,1,2,0.5,
sensory association cortex,U,1,1,0.0,
second somatosensory cortex,R,1,2,0.0,1.0
secondary auditory cortex,L,1,1,0.0,0.0
secondary clusters,U,1,3,1.0,
secondary olfactory area,U,1,1,1.0,
secondary olfactory areas1,U,1,2,0.5,
secondary somatosensory,U,1,1,0.0,
secondary visual cortex,L,1,1,1.0,1.0
sef sphere,U,1,1,1.0,
bpd,U,1,6,0.3333,
brain stem,R,1,1,0.0,1.0
s1 hand 3,R,1,1,0.0,1.0
s1damh,U,1,3,1.0,
s1undamh,U,1,1,0.0,
s2 cl,U,1,1,0.0,
sacc,U,1,1,1.0,
second somatosensory cortex,L,1,3,1.0,1.0
beta 2 extracted from the pcc,U,1,1,1.0,
beta 2 extracted from the precuneus,U,1,1,1.0,
bi anterior rostral medial prefrontal cortex,U,1,1,1.0,
bi lingual,U,1,1,1.0,
bj versus ej versus aj,U,1,1,1.0,
body of the calcarine fissure and cuneus,U,1,1,1.0,
body of the calcarine sulcus,U,1,4,0.5,
body of the corpus callosum,U,1,1,0.0,
sma proper,L,1,1,1.0,1.0
sma proper pre sma,U,1,2,0.0,
smadamh,U,1,3,1.0,
small volume correction,U,1,6,0.5,
smaundamh,U,1,1,0.0,
smc,U,1,1,1.0,
smfc,R,1,1,0.0,1.0
smfc,U,1,1,1.0,
sii ba 40,U,1,1,0.0,
sii la,U,1,1,1.0,
sips,U,1,2,0.5,
slf,U,1,1,0.0,
sma 6,L,1,2,1.0,1.0
sma 6,R,1,2,0.0,1.0
sma ba 5,R,1,1,0.0,1.0
sma premotor,L,1,1,1.0,1.0
sfg ba 6 8,R,1,1,0.0,1.0
sfg ba 8,R,1,1,0.0,1.0
sfg ba 9,L,1,1,1.0,1.0
sfg4,U,1,1,0.0,
sfj,L,1,2,1.0,1.0
sfrg,U,1,1,1.0,
sgacc,L,1,2,1.0,1.0
sgacc,U,1,1,1.0,
septal,U,1,1,1.0,
septal area,U,1,2,0.5,
septal part of nucleus accumbens,U,1,1,0.0,
sfc ba 6,R,1,1,0.0,1.0
sfg 10,U,1,2,0.0,
sfg 6,U,1,1,0.0,
sfg 9,R,1,1,0.0,1.0
sfg ba 6,R,1,1,0.0,1.0
ba 40 parietal lobe,R,1,1,0.0,1.0
ba 40 supramarginal gyrus,U,1,2,0.0,
ba 41,U,1,5,0.6,
ba 41 temporal transversus gyrus,L,1,1,1.0,1.0
ba 43,R,1,1,0.0,1.0
ba 43 2,U,1,1,1.0,
ba 44 dlpfc,U,1,3,0.3333,
ba 44 dorsolateral prefrontal cortex,U,1,1,1.0,
spc ba 7,L,1,1,1.0,1.0
spg,L,1,1,1.0,1.0
spg,U,1,2,0.0,
ba 39,L,1,2,1.0,1.0
ba 4 precentral gyrus,L,1,1,1.0,1.0
ba 4 precentral gyrus,U,1,1,1.0,
ba 40,L,1,1,1.0,1.0
ba 40,R,1,1,0.0,1.0
somato motor cortex,U,1,1,1.0,
somatomotor cortex,U,1,1,0.0,
somatosensorial 1,U,1,2,0.5,
somatosensory,U,1,2,0.5,
somatosensory association cortex,U,1,6,0.5,
somatosensory association cortex and associative visual cortex,U,1,1,0.0,
spc,L,1,1,1.0,1.0
spc,U,1,1,1.0,
smg ba 40,U,1,1,1.0,
smg ba 42,U,1,1,0.0,
smg d,U,1,1,1.0,
smg stg,L,1,1,1.0,1.0
smma,L,1,1,1.0,1.0
smma,R,1,1,0.0,1.0
sofg,R,1,1,0.0,1.0
sog 19,R,1,1,0.0,1.0
striate cortex,L,1,1,1.0,1.0
striate visual cortex,U,1,1,1.0,
striatum,B,1,1,1.0,
sts region,R,1,2,0.0,1.0
sub gyral,L,1,1,1.0,1.0
sub gyral ba 10,R,1,1,0.0,1.0
sub gyrus 6,R,1,1,0.0,1.0
sub lobar,L,1,2,1.0,1.0
stg 2,U,1,1,0.0,
stg 3,U,1,1,1.0,
stg 39,U,1,1,0.0,
stg ba 22,L,1,1,1.0,1.0
stg ba 22 21,L,1,1,1.0,1.0
stp,U,1,2,0.0,
str,U,1,1,0.0,
striate,U,1,6,0.3333,
spl3,U,1,1,0.0,
spl7p,U,1,1,0.0,
spoc,L,1,1,1.0,1.0
spoc,U,1,3,0.3333,
sps,R,1,1,0.0,1.0
stc,L,1,2,1.0,1.0
stc,R,1,1,0.0,1.0
stg 1,U,1,1,0.0,
ba 45 dlpfc,U,1,1,1.0,
ba 45 dorsolateral prefrontal cortex,U,1,1,1.0,
ba 46,R,1,1,1.0,0.0
ba 47 inferior frontal gyrus,L,1,1,1.0,1.0
ba 4a,L,1,1,1.0,1.0
spl 7,U,1,1,0.0,
spl cl,U,1,1,0.0,
spl ext to stg,L,1,1,1.0,1.0
subgenual prefrontal cortex,R,1,1,0.0,1.0
subgenual vmpfc,U,1,1,0.0,
subgyral,R,1,1,0.0,1.0
subgyral grey matter 37,L,1,1,1.0,1.0
subgyral temporal,R,1,1,0.0,1.0
subiculum,U,1,1,1.0,
sublobar insula,R,1,1,0.0,1.0
sublobular,U,1,1,0.0,
subgenual acc,U,1,2,0.5,
